,learner,openmlid,slopes,is_nonmonotonic
0,sklearn.ensemble.GradientBoostingClassifier,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4875110225547674e-05, -2.8773630572787674e-07, 2.776287688580761e-05, 3.251356492226827e-05, -1.0191249452294143e-05, -1.4749992300436131e-05, 1.1064935064935076e-05, -1.7402597402597413e-05, 2.950649350649353e-05, -4.1172932330827116e-05]",True
1,sklearn.ensemble.GradientBoostingClassifier,11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8897987375739245e-06, 5.3142172216622636e-05, 0.00010040211805139568]",True
2,sklearn.ensemble.GradientBoostingClassifier,18,"[3.868131868131868e-05, 9.374955305563624e-05, 3.1843486413538496e-05, 0.00013522604103089763, 0.00010161010632765099, -4.200318601523125e-05, -1.5594758873650358e-05, 9.438179813112503e-06, 4.4411271985035465e-05, -7.929910384679441e-07, 3.0261794515271967e-05, 2.616864863826481e-05, -1.3454545454545468e-05, 0.00010974436090225555]",True
3,sklearn.ensemble.GradientBoostingClassifier,23,"[7.736263736263735e-05, 0.00018749910611127248, 6.27216199453478e-05, 5.033821420339854e-05, -2.1100419385010253e-07, 0.00015303689747681455, 0.0004718791639214307, 0.0007938818871846809, 0.0009495638661379759, 0.0007978620705899683, 0.0003885480759708616, 0.00014263417941104607, 8.654545454545453e-05, 0.00010306766917293184]",True
4,sklearn.ensemble.GradientBoostingClassifier,24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
5,sklearn.ensemble.GradientBoostingClassifier,31,"[0.0, 0.0, 0.0, 6.111535523300241e-06, 8.908487393006009e-05, 0.00021315618348269436, 0.00010127241269216384, 0.0003722689555966485, 0.00019390540794324951, 0.0001601383472083309, 4.595914771298479e-05, 4.419530360140208e-05]",True
6,sklearn.ensemble.GradientBoostingClassifier,46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.674038908993724e-06, -3.053943471990854e-07, -1.5262620267976961e-07, -7.63198276198392e-08, 0.0, -6.233766233766235e-07, 1.3506493506493527e-06, 9.744360902255646e-06]",True
7,sklearn.ensemble.GradientBoostingClassifier,54,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.845192204822287e-07, 2.790102176548014e-05, 1.237532254616225e-05]",True
8,sklearn.ensemble.GradientBoostingClassifier,61,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
9,sklearn.ensemble.GradientBoostingClassifier,181,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.894181234771516e-05, 0.00011581548609749143, 0.00012377980645120613, 0.00019402516494480032, 6.722077922077929e-05, 0.00015485714285714302]",True
10,sklearn.ensemble.GradientBoostingClassifier,188,"[0.0011952451330347357, 0.001701638490559642, 0.0013680010918685006, 0.0012842024209189689, 0.0013223772166916163, 0.0010955394142518316, 0.0008973829789148079, 0.0006191230947723505, 0.0006224980666620891, 0.0003903626626788729, 0.00028156849272319476, 0.0002422281037155646]",True
11,sklearn.ensemble.GradientBoostingClassifier,346,"[0.0, 0.0, 0.0, 0.0]",False
12,sklearn.ensemble.GradientBoostingClassifier,446,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
13,sklearn.ensemble.GradientBoostingClassifier,679,"[0.00017291219570696444, 0.000532980566723517, 0.0008413594199191795, 0.0013889119562765378, 0.0005309020151572592, 0.0007557800201323002, 0.0006438937125283886, 0.000784723735390036, 0.0006963208482336061, 0.00022471766529955493, 0.0002917315783782824, 0.00010612263850905301]",True
14,sklearn.ensemble.GradientBoostingClassifier,715,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.130260071497836e-06]",True
15,sklearn.ensemble.GradientBoostingClassifier,718,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.187344200283869e-06]",True
16,sklearn.ensemble.GradientBoostingClassifier,720,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1789882541267285e-05, 0.00015440796902209023, 0.0001009727784571117, 0.00017891034460894357, 2.3516498256377326e-05, -4.10389610389611e-06, 8.41558441558441e-06, 5.355844155844159e-05, -2.2045112781954833e-05]",True
