,openmlid,learner,max_anchor_seen,prediction,beta,fails_init,fails_fit,MSE_trn,MSE_tst,MSE_tst_last,L1_trn,L1_tst,L1_tst_last,n,curve_model,anchor_prediction,score,percentage,percentage_bucket
4608,16,sklearn.linear_model.LogisticRegression,45,"[0.57064642 0.65970981 0.73620802 0.80514207 0.86216276 0.90409633
 0.93207273 0.95055266 0.9619599  0.96872191 0.97261614 0.97480578
 0.97601803 0.9768213 ]",[  0.97745382 499.47932329   1.83256342  32.49390818],0,0,3.4265233342757887e-06,0.0004986375866214346,0.00048673626453153295,0.0016461600604908422,0.0215945966013263,0.02206210018406074,4,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.027777777777777776,0.05
4609,16,sklearn.linear_model.LogisticRegression,64,"[0.57024449 0.66049017 0.73674357 0.80343405 0.85593333 0.89181556
 0.91355263 0.92630138 0.93313187 0.9365809  0.93824704 0.93902335
 0.93937619 0.93956216]",[9.39655100e-01 8.71051774e+03 2.47515246e+00 4.24213822e+01],0,0,3.3761388276343846e-06,7.968187317470342e-05,0.00023095013354293225,0.00159211889736115,0.007435029249876429,0.015197043579029845,5,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.03950617283950617,0.05
4610,16,sklearn.linear_model.LogisticRegression,91,"[0.57009843 0.66060766 0.7370568  0.80349776 0.85499663 0.88922977
 0.9091296  0.92017591 0.92569774 0.92826682 0.92939829 0.9298748
 0.93006926 0.93015966]",[9.30195724e-01 5.13677867e+04 2.84050855e+00 4.92468010e+01],0,0,2.723043784761884e-06,0.0002808907902798996,0.0006051374246003422,0.0012746362442854948,0.014677589830173532,0.024599541146134052,6,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.05617283950617284,0.1
4611,16,sklearn.linear_model.LogisticRegression,128,"[0.57026324 0.66035068 0.7368078  0.80350951 0.85532286 0.88974357
 0.90966773 0.92063695 0.92605251 0.92853139 0.92960183 0.9300426
 0.93021808 0.93029729]",[9.30327301e-01 8.36813779e+04 2.93044268e+00 5.17965578e+01],0,0,2.3601302978039873e-06,0.00031413912928461053,0.0005983850371917882,0.001253145254063107,0.01636322266173475,0.0244619099252652,7,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.07901234567901234,0.1
4612,16,sklearn.linear_model.LogisticRegression,181,"[0.57011011 0.66066152 0.73680797 0.80305315 0.85488891 0.89008702
 0.91126777 0.92360754 0.93017459 0.9334686  0.93504946 0.93578129
 0.9361118  0.93628477]",[9.36370177e-01 9.11491681e+03 2.49276543e+00 4.20080800e+01],0,0,2.870013671180949e-06,0.00018926161983145486,0.000341304397485199,0.0014586778460323607,0.013020382363858052,0.018474425498109515,8,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.1117283950617284,0.2
4613,16,sklearn.linear_model.LogisticRegression,256,"[0.56977241 0.66129897 0.73709609 0.80257177 0.85405449 0.88976401
 0.91211462 0.92590443 0.93381683 0.93816215 0.94047464 0.94167387
 0.94228536 0.94265435]",[9.42894486e-01 1.19118061e+03 2.08058445e+00 3.23284699e+01],0,0,3.894859151312344e-06,8.423904567661794e-05,0.00014652738615699958,0.0017711156169153914,0.008766565442769103,0.01210484969576242,9,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.1580246913580247,0.2
4614,16,sklearn.linear_model.LogisticRegression,362,"[0.56950801 0.66177323 0.73735432 0.80229048 0.85344633 0.88933626
 0.91228436 0.9268853  0.9356034  0.94062311 0.94344089 0.94498956
 0.94582945 0.94637431]",[  0.94678679 442.97385865   1.87483796  27.3833632 ],0,0,4.46001554968337e-06,4.410926705235715e-05,7.03064560404979e-05,0.0018334303605599066,0.006434446970910113,0.008384894515764518,10,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.2234567901234568,0.4
4615,16,sklearn.linear_model.LogisticRegression,512,"[0.56925993 0.66219993 0.73761587 0.80209109 0.85292411 0.88887173
 0.91220755 0.92738223 0.93670014 0.94224539 0.94547563 0.94732369
 0.94836943 0.94908247]",[  0.94968486 228.01453914   1.73453993  23.93932892],0,0,5.02164645865436e-06,2.2382499128490214e-05,3.222529481749252e-05,0.0018799964389518092,0.004575870377474127,0.005676732759034242,11,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.3160493827160494,0.4
4616,16,sklearn.linear_model.LogisticRegression,724,"[0.56910595 0.6624554  0.73778586 0.80199666 0.85262719 0.88857056
 0.91208113 0.92753732 0.93716184 0.94298458 0.94643943 0.94845568
 0.94962078 0.95043503]",[  0.95116268 164.97139944   1.66555802  22.21386423],0,0,5.03297853627187e-06,1.6935587915223272e-05,1.8698460077331663e-05,0.001852178730916948,0.004109694320669155,0.0043241716059069235,12,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.4469135802469136,0.8
4617,16,sklearn.linear_model.LogisticRegression,1024,"[0.56891242 0.66276747 0.73800601 0.80190516 0.85228231 0.88818923
 0.91186542 0.92761235 0.93756482 0.94369195 0.94739888 0.94960817
 0.95091343 0.95184965]",[  0.95273885 117.59273257   1.59299417  20.36950712],0,0,5.427262500842187e-06,8.465464718480302e-06,8.465464718480302e-06,0.0019068924623177885,0.002909547167254778,0.002909547167254778,13,pow4,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.6320987654320988,0.8
4618,16,sklearn.linear_model.LogisticRegression,45,"[0.57038715 0.66055413 0.73518211 0.80547181 0.87152633 0.93147665
 0.98433164 1.03319173 1.07766188 1.1180866  1.15487928 1.18832495
 1.21876562 1.25485398]",[1.52492757 2.03715024 0.27341855],0,0,6.48485826278841e-06,0.03301209200759596,0.09005687428593133,0.002260970104224269,0.15692170580447456,0.30009477550589136,4,pow3,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.027777777777777776,0.05
